Crime,Date,Time,Address,Lat,Lng
Other,02/18/19,10:31 PM,6900 BLOCK OF FAIRFAX DR SAN BERNARDINO COUNTY,34.1285999,-117.2573737
Theft,02/18/19,12:35 PM,5600 BLOCK OF ELM AVE SAN BERNARDINO COUNTY,34.1521458,-117.2452679
Theft,02/18/19,12:59 PM,600 BLOCK OF E 3RD ST SAN BERNARDINO COUNTY,34.1043088,-117.2731687
Other,02/18/19,03:16 PM,5600 BLOCK OF GOLONDRINA DR SAN BERNARDINO COUNTY,34.1521658,-117.2462081
Other,02/18/19,05:35 PM,300 BLOCK OF W BASELINE ST SAN BERNARDINO COUNTY,34.1213467,-117.2896846
Theft,02/18/19,07:12 PM,6700 BLOCK OF DEL ROSA DR SAN BERNARDINO COUNTY,34.1322526,-117.2523596
Burglary,02/18/19,09:35 AM,11400 BLOCK OF NEW JERSEY ST SAN BERNARDINO COUNTY,34.0469233,-117.2219599
Assault,02/18/19,09:35 AM,6200 BLOCK OF ARGYLE AVE SAN BERNARDINO COUNTY,34.1413041,-117.243078
Other,02/18/19,09:56 AM,3500 BLOCK OF BRONSON ST SAN BERNARDINO COUNTY,34.1598912,-117.3572962
Other,02/18/19,12:10 AM,5300 BLOCK OF NEWBURY AVE SAN BERNARDINO COUNTY,34.1575481,-117.2443828
Other,02/18/19,12:57 AM,24500 BLOCK OF COURT ST SAN BERNARDINO COUNTY,34.9592083,-116.419389
Theft,02/17/19,08:35 PM,6900 BLOCK OF FAIRFAX DR SAN BERNARDINO COUNTY,34.1285999,-117.2573737
Assault,02/17/19,09:27 PM,26700 BLOCK OF BARTON RD SAN BERNARDINO COUNTY,34.0482922,-117.2217166
Other,02/17/19,09:57 PM,3300 BLOCK OF N DEL REY DR SAN BERNARDINO COUNTY,34.1513241,-117.2640982
Other,02/17/19,03:06 PM,1000 BLOCK OF W VALLEY BLVD SAN BERNARDINO COUNTY,34.0688911,-117.342028
Burglary,02/17/19,11:50 AM,5800 BLOCK OF MERITO AVE SAN BERNARDINO COUNTY,34.1486429,-117.2471959
Other,02/16/19,07:11 PM,24600 BLOCK OF 4TH ST SAN BERNARDINO COUNTY,34.1064622,-117.2689171
Other,02/16/19,07:58 PM,900 BLOCK OF W F ST SAN BERNARDINO COUNTY,34.0697017,-117.6653962
Other,02/16/19,08:20 PM,7000 BLOCK OF N BARTON ST SAN BERNARDINO COUNTY,34.121124,-117.2648904
Other,02/16/19,08:40 PM,24800 BLOCK OF 4TH ST SAN BERNARDINO COUNTY,34.1064605,-117.263895
Theft,02/16/19,12:26 PM,N STATE ST/NOLAN ST SAN BERNARDINO COUNTY,34.1525385,-117.3355261
Other,02/16/19,12:50 PM,2300 BLOCK OF W 2ND AVE SAN BERNARDINO COUNTY,34.1634279,-117.3489085
Theft,02/16/19,12:52 PM,0 FRST/2N30 FRST SAN BERNARDINO COUNTY,34.1053382,-117.2261652
Theft,02/16/19,05:03 PM,3200 BLOCK OF VERMONT ST SAN BERNARDINO COUNTY,34.1543016,-117.3529374
Theft,02/16/19,05:08 PM,2200 BLOCK OF W 3RD AVE SAN BERNARDINO COUNTY,34.1651107,-117.3442386
Other,02/16/19,05:53 PM,5300 BLOCK OF ELM AVE SAN BERNARDINO COUNTY,34.1575542,-117.245297
Theft,02/16/19,06:32 AM,6500 BLOCK OF PRADERA AVE SAN BERNARDINO COUNTY,34.1344519,-117.2464706
Other,02/16/19,11:04 AM,4100 BLOCK OF N F ST SAN BERNARDINO COUNTY,34.1682298,-117.3026777
Other,02/16/19,12:05 AM,5900 BLOCK OF ELMWOOD RD SAN BERNARDINO COUNTY,34.1467238,-117.2514631
Other,02/16/19,12:16 AM,1000 BLOCK OF E PACIFIC ST SAN BERNARDINO COUNTY,34.1286468,-117.2656457
Theft,02/15/19,06:53 PM,8300 BLOCK OF STATE HWY 138 SAN BERNARDINO COUNTY,34.3178602,-117.37051
Vandalism,02/15/19,07:40 PM,3000 BLOCK OF JUNE ST SAN BERNARDINO COUNTY,34.1506538,-117.3485729
Other,02/15/19,09:40 PM,2100 BLOCK OF W BLAKE ST SAN BERNARDINO COUNTY,34.1505752,-117.339882
Theft,02/15/19,02:53 PM,W PORTER ST/N MACY ST SAN BERNARDINO COUNTY,34.1415201,-117.339831
Other,02/15/19,03:53 PM,6800 BLOCK OF SERENA ST SAN BERNARDINO COUNTY,34.1302755,-117.2456363
Assault,02/15/19,03:55 PM,25600 BLOCK OF PASITO ST SAN BERNARDINO COUNTY,34.1293263,-117.2459113
Theft,02/15/19,04:10 PM,5600 BLOCK OF GOLONDRINA DR SAN BERNARDINO COUNTY,34.1521658,-117.2462081
Theft,02/14/19,06:06 PM,6700 BLOCK OF MERITO AVE SAN BERNARDINO COUNTY,34.1320722,-117.2466116
Shooting,02/14/19,07:16 PM,W 48TH ST/N H ST SAN BERNARDINO COUNTY,34.171869,-117.3005051
Other,02/14/19,09:41 PM,3100 BLOCK OF N MACY ST SAN BERNARDINO COUNTY,34.1523081,-117.3402245
Theft,02/14/19,04:13 PM,E 11TH ST/N BOBBETT DR SAN BERNARDINO COUNTY,34.1195148,-117.2787857
Other,02/14/19,10:03 AM,600 BLOCK OF W 41ST ST SAN BERNARDINO COUNTY,34.1684455,-117.2964117
Theft,02/14/19,10:58 AM,N STATE ST/NOLAN ST SAN BERNARDINO COUNTY,34.1525385,-117.3355261
Shooting,02/14/19,01:15 AM,1000 BLOCK OF W H ST SAN BERNARDINO COUNTY,34.0695508,-117.3393556
Other,02/13/19,09:49 PM,700 BLOCK OF W 40TH ST SAN BERNARDINO COUNTY,34.1650334,-117.2989333
Other,02/13/19,01:03 PM,1300 BLOCK OF E MARSHALL BLVD SAN BERNARDINO COUNTY,34.1497075,-117.2582079
Arrest,02/13/19,01:45 PM,N DEL ROSA AVE/E PUMALO ST SAN BERNARDINO COUNTY,34.149468,-117.2524269
Other,02/13/19,02:30 PM,2000 BLOCK OF N DEL ROSA AVE SAN BERNARDINO COUNTY,34.1340063,-117.2527521
Other,02/13/19,03:07 PM,1300 BLOCK OF N WATERMAN AVE SAN BERNARDINO COUNTY,34.1233817,-117.2787798
Other,02/13/19,03:10 PM,2000 BLOCK OF W ADAMS ST SAN BERNARDINO COUNTY,34.1378737,-117.3354604
Assault,02/13/19,03:54 PM,8100 BLOCK OF TIPPECANOE AVE SAN BERNARDINO COUNTY,34.1064602,-117.2610241
Vandalism,02/13/19,04:19 AM,6700 BLOCK OF DEL ROSA AVE SAN BERNARDINO COUNTY,34.1322521,-117.2519504
Theft,02/13/19,08:21 AM,19700 BLOCK OF W CAJON BLVD SAN BERNARDINO COUNTY,34.1971164,-117.3749523
Theft,02/13/19,08:22 AM,25700 BLOCK OF AVALON AVE SAN BERNARDINO COUNTY,34.1462474,-117.2426693
Vandalism,02/13/19,08:29 AM,4200 BLOCK OF CEDAR DR SAN BERNARDINO COUNTY,34.1720668,-117.3084134
Vandalism,02/13/19,11:11 AM,2000 BLOCK OF W ADAMS ST SAN BERNARDINO COUNTY,34.1378737,-117.3354604
Theft,02/13/19,11:21 AM,2100 BLOCK OF W DARBY ST SAN BERNARDINO COUNTY,34.1469588,-117.3398728
Other,02/12/19,07:31 PM,24600 BLOCK OF 4TH ST SAN BERNARDINO COUNTY,34.1064622,-117.2689171
Other,02/12/19,07:57 PM,2000 BLOCK OF W ADAMS ST SAN BERNARDINO COUNTY,34.1378737,-117.3354604
Assault,02/12/19,11:04 PM,4000 BLOCK OF COTTAGE DR SAN BERNARDINO COUNTY,34.1646555,-117.297185
Other,02/12/19,01:10 PM,1900 BLOCK OF W HIGHLAND AVE SAN BERNARDINO COUNTY,34.1362431,-117.3309187
Assault,02/12/19,05:10 PM,2000 BLOCK OF W ADAMS ST SAN BERNARDINO COUNTY,34.1378737,-117.3354604
Assault,02/12/19,06:00 PM,FERN LN/RECHE CANYON SAN BERNARDINO COUNTY,34.0287202,-117.2799297
Other,02/12/19,06:28 PM,3100 BLOCK OF N GOLDEN AVE SAN BERNARDINO COUNTY,34.1476756,-117.2611347
Other,02/12/19,06:41 PM,2000 BLOCK OF W DARBY ST SAN BERNARDINO COUNTY,34.147213,-117.3442354
Other,02/12/19,08:45 AM,8000 BLOCK OF SUNNYSIDE AVE SAN BERNARDINO COUNTY,34.1083153,-117.262534
Burglary,02/12/19,10:48 AM,7200 BLOCK OF TIPPECANOE AVE SAN BERNARDINO COUNTY,34.0661497,-117.2612829
Other,02/11/19,08:47 PM,2100 BLOCK OF MALLORY ST SAN BERNARDINO COUNTY,34.1433289,-117.339893
Arrest,02/11/19,11:14 PM,3200 BLOCK OF WAGON TRAIN RD SAN BERNARDINO COUNTY,34.3084719,-117.4677993
Shooting,02/11/19,11:23 PM,7900 BLOCK OF TIPPECANOE AVE SAN BERNARDINO COUNTY,34.110188,-117.261006
Theft,02/11/19,03:36 PM,2700 BLOCK OF N MACY ST SAN BERNARDINO COUNTY,34.1451823,-117.3403474
